,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,InformedConsent,Prolific,Overall_knowledge,importance_role,industry_regulations,guidelines,awareness,measures,measures_11_TEXT,report_issue,frequency_informed,review_policies,concern,Confidence,confident_prevent,knowledge,maintain_tools,rank_tools_1,rank_tools_2,rank_tools_3,rank_tools_4,rank_tools_5,antivirus_scans,Considerations,AI_in_cybersecurity,AI usage,ai_accuracy,Bias_security,wrong_identification,Worst_Outcome,Trust in AI,Review_frequency,location_policies,Consequences,Effectiveness,rank_steps_1,rank_steps_2,rank_steps_3,rank_steps_4,rank_steps_5,specialist,it_specialist_increase,it_specialist_solve,improvement_cybersecurity,training,follow_training,frequency_training,relevancy,Knowledge_increase_after_training,implementation,increase_in_effectiveness,familiarity_with_phishing,password_update_frequency,public_networks,Lock_screen,Sensitive_information_on_local,Same_password_multiple_systems,pop_up_frequency,download_unrelated,received_emails_with_link,CIRP_available,dedicated_department_cyberthreat,tests_within_company,notification_protocol,protocols_sharing_info,Age,nationality,Gender,sector,Company Size,department,Years of Experience,questions,PROLIFIC_PID
28,2024-09-30 16:16:45,2024-09-30 16:25:39,IP Address,196.25.36.70,100,533,True,2024-09-30 16:25:39,R_8Op3AEct5FwMF0S,-34.0462,23.373,anonymous,EN,Yes,66b26659cee77331828f6fe2,Knowledgeable,Very important,Yes,Often,Yes,"Encryption,Data backups,Anti-virus software,Employee training,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Sometimes,Quarterly,A great deal,A lot,A great deal,Somewhat adequate,Weekly,4,1,5,3,2,Daily,Speed,Yes,Yes,A great deal,A great deal,A lot,False positives (i.e. harmless emails being identified as suspicious and being blocked),Transparency in how AI works,Quarterly,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",4,5,2,1,3,Yes,Yes,Often,Yes,Yes,,Quarterly,Relevant,Significantly,Moderately,Yes,Somewhat confident,Monthly,"Yes, with all my devices",Always,Rarely,No,No,No,Ignore,Yes,Yes,Monthly,Yes,Yes,32,South african ,Female,Information Technology (IT),51-100,IT & Engineering,1-3 years,5 - 10 years,66b26659cee77331828f6fe2
29,2024-09-30 16:18:25,2024-09-30 16:25:40,IP Address,195.23.138.160,100,435,True,2024-09-30 16:25:40,R_2DAq9um26ieCPZf,38.731,-9.1373,anonymous,EN,Yes,5e8cbaafcbf01e067b12002a,Knowledgeable,Extremely important,Yes,Often,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Virtual Private Network (VPN),Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Sometimes,Annually,A lot,A lot,A lot,Somewhat adequate,Weekly,2,1,3,4,5,Weekly,Accuracy,Yes,No,,,,,,Once a year,"Yes, I know exactly where they are",Neutral,"Yes, they are somewhat effective",1,3,4,5,2,Yes,Yes,Always,Yes,No,"Yes, willingly",Annually,,,,Yes,Somewhat confident,Every few months,"No, only private networks",Always,Sometimes,Yes,No,Yes,Delete the message,No,Yes,Once a year,Yes,I don't know,38,Portuguese,Male,Information Technology (IT),51-100,IT & Engineering,more than 10 years,More than 20 years,5e8cbaafcbf01e067b12002a
30,2024-09-30 16:20:28,2024-09-30 16:25:45,IP Address,94.14.12.76,100,316,True,2024-09-30 16:25:45,R_2ZVoKhazDuIIuKa,52.1115,0.5045,anonymous,EN,Yes,60a686fa1cec4afd7a8d0b40,Knowledgeable,Very important,Yes,Often,Yes,"Two-factor authentication,Data backups,Employee training,Virtual Private Network (VPN),Password Manager",,Extremely likely,Always,I don't know,A lot,A great deal,A great deal,Somewhat adequate,Monthly,4,1,5,2,3,Weekly,Integration with other tools,Maybe,No,,,,,,Every 6 months,"No, I've never seen them",Somewhat familiar,"Yes, they are somewhat effective",1,5,3,4,2,Yes,Yes,Always,Not sure,Yes,,Annually,Neutral,Moderately,Moderately,No,Not very confident,Every few months,"No, only private networks",Always,Sometimes,Yes,No,No,Delete the message,I don't know,I don't know,I don't know,I don't know,I don't know,29,British,Male,Construction and Engineering,100+,IT & Engineering,3-5 years,More than 20 years,60a686fa1cec4afd7a8d0b40
31,2024-09-30 16:18:57,2024-09-30 16:25:47,IP Address,79.116.216.203,100,410,True,2024-09-30 16:25:47,R_8mXDFRQ89WfbpJM,40.4172,-3.684,anonymous,EN,Yes,66d5a32ebf43e8f3338188dc,Knowledgeable,Very important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Biannually,A moderate amount,A lot,A lot,Somewhat adequate,Weekly,5,3,4,1,2,Weekly,Accuracy,Maybe,No,,,,,,Every 6 months,"Yes, I know exactly where they are",Somewhat familiar,"Yes, they are somewhat effective",5,3,1,4,2,Yes,Yes,Always,Yes,Yes,,Annually,Relevant,Significantly,Always,Yes,Neutral,Every few months,"No, only private networks",Always,Rarely,No,No,No,Delete the message,I don't know,No,I don't know,Yes,Yes,33,Spanish,Female,Real Estate,2024-01-10 00:00:00,Sales & Marketing,more than 10 years,10 - 20 years,66d5a32ebf43e8f3338188dc
32,2024-09-30 16:16:51,2024-09-30 16:25:47,IP Address,94.101.30.249,100,535,True,2024-09-30 16:25:48,R_2mjHcxpKjjTbPOd,53.1333,17.9484,anonymous,EN,Yes,5e6ecd1a5c401949b9ae528f,Knowledgeable,Moderately important,Yes,Sometimes,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Sometimes,Biannually,A moderate amount,A moderate amount,A lot,Somewhat adequate,Less frequently,3,2,4,5,1,Rarely,Accuracy,Yes,Yes,A lot,A moderate amount,A moderate amount,False positives (i.e. harmless emails being identified as suspicious and being blocked),Independent certifications of AI systems,Once a year,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",1,5,2,3,4,Yes,Yes,Often,Yes,Yes,,Annually,Neutral,Significantly,Moderately,Yes,Neutral,Annually,"No, only private networks",Always,Sometimes,No,No,No,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",Yes,Yes,I don't know,I don't know,I don't know,22,Polish,Male,Media and Entertainment,100+,Other,3-5 years,10 - 20 years,5e6ecd1a5c401949b9ae528f
33,2024-09-30 16:18:12,2024-09-30 16:25:56,IP Address,95.19.172.247,100,464,True,2024-09-30 16:25:57,R_2zuLhOgRxz5wPlS,41.4656,2.0794,anonymous,EN,Yes,66c1b8daba16ce16ce44d61a,Neutral,Slightly important,No,Rarely,Yes,"Two-factor authentication,Data backups,Password Manager",,Somewhat likely,Sometimes,Never,A lot,A little,A little,Somewhat adequate,Less frequently,5,2,3,4,1,Rarely,Integration with other tools,Maybe,No,,,,,,Never,"No, I've never seen them",Not very familiar,Neutral,2,3,5,1,4,No,,,,No,"Yes, willingly",,,,,Yes,Somewhat confident,Only when forced,"Yes, with all my devices",Always,Often,Yes,No,No,Delete the message,No,No,Never,No,No,29,Spanish,Female,Healthcare and Pharmaceuticals,2024-01-10 00:00:00,Human Resources & Administration,5-10 years,More than 20 years,66c1b8daba16ce16ce44d61a
34,2024-09-30 16:16:57,2024-09-30 16:26:14,IP Address,109.243.130.43,100,557,True,2024-09-30 16:26:15,R_8ffPmxkdgHm8bHI,52.2229,20.9362,anonymous,EN,Yes,650a05d42ac1a544fe1b9937,Neutral,Slightly important,I don't know,Often,Yes,"Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat unlikely,Sometimes,I don't know,A lot,A moderate amount,A moderate amount,Neither adequate nor inadequate,Less frequently,2,4,3,1,5,Monthly,Accuracy,Yes,No,,,,,,Quarterly,"Yes, I know exactly where they are",Neutral,Neutral,2,5,4,1,3,No,,,,No,Only if mandatory,,,,,Not sure,Somewhat confident,Annually,"No, only private networks",Always,Sometimes,Yes,No,No,Ignore,No,No,I don't know,I don't know,No,22,Polish,Male,Media and Entertainment,26-50,Product Development & R&D,less than 1 year,3 - 5 years,650a05d42ac1a544fe1b9937
35,2024-09-30 16:17:18,2024-09-30 16:26:17,IP Address,41.144.68.237,100,539,True,2024-09-30 16:26:18,R_8ro6Xy1rEqmvLBT,-29.8556,31.0449,anonymous,EN,Yes,66afbfddc44aecf894d3ee07,Neutral,Moderately important,No,Often,Yes,"Firewalls,Data backups,Anti-virus software,Password Manager",,Somewhat unlikely,Never,I don't know,A moderate amount,A little,A little,Neither adequate nor inadequate,I don't update or maintain them,1,2,3,4,5,Rarely,Ease of use,Maybe,No,,,,,,Once a year,"No, I've never seen them",Neutral,Neutral,2,5,1,4,3,Yes,Yes,Rarely,Not sure,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Only when forced,"Yes, with all my devices",Rarely,Sometimes,Yes,Yes,Yes,Ignore,No,No,Never,No,No,27,South African,Female,Agriculture and Food Production,2024-01-10 00:00:00,Human Resources & Administration,3-5 years,More than 20 years,66afbfddc44aecf894d3ee07
36,2024-09-30 16:18:25,2024-09-30 16:26:21,IP Address,146.230.188.63,100,475,True,2024-09-30 16:26:21,R_8c8HaTqHsbdizYt,-29.9056,30.9405,anonymous,EN,Yes,665701bccd2e8e015c5a4e48,Knowledgeable,Very important,Yes,Often,Yes,"Encryption,Two-factor authentication,Anti-virus software,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Sometimes,Quarterly,A lot,A great deal,A lot,Somewhat adequate,Less frequently,1,2,3,4,5,Weekly,Integration with other tools,Maybe,Yes,A lot,A moderate amount,A lot,False negatives (i.e. phishing emails appearing in your inbox),Proven track record of reliability,Once a year,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",1,2,3,4,5,Yes,Yes,Always,Yes,Yes,,Annually,Relevant,Moderately,Always,Yes,Neutral,Only when forced,"Yes, but only with my personal devices",Rarely,Rarely,Yes,Yes,Yes,Ignore,I don't know,Yes,I don't know,Yes,Yes,22,south african,Female,Healthcare and Pharmaceuticals,2024-11-25 00:00:00,Other,1-3 years,1 - 3 years,665701bccd2e8e015c5a4e48
37,2024-09-30 16:18:48,2024-09-30 16:26:23,IP Address,88.156.209.218,100,455,True,2024-09-30 16:26:24,R_8ctGkMc1PS7gTPy,53.1307,23.1527,anonymous,EN,Yes,65411e464f144bae4da01631,Not very knowledgeable,Slightly important,No,Often,Yes,"Anti-virus software,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Annually,A lot,A moderate amount,A lot,Somewhat inadequate,I don't update or maintain them,2,1,3,4,5,Monthly,Accuracy,Maybe,No,,,,,,Once a year,"Yes, but I'm not sure of the exact location",Very familiar,Neutral,1,4,3,5,2,Yes,Yes,Often,Not sure,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Sometimes,Sometimes,No,No,No,Ignore,No,No,Never,No,No,25,Poland,Male,Insurance,100+,Human Resources & Administration,1-3 years,More than 20 years,65411e464f144bae4da01631
38,2024-09-30 16:19:26,2024-09-30 16:26:27,IP Address,41.203.43.138,100,421,True,2024-09-30 16:26:28,R_2pKjuUJ7NcFMlEZ,-25.7599,28.2604,anonymous,EN,Yes,6152c1e46256722c21daf4f5,Neutral,Very important,Yes,Always,Yes,"Two-factor authentication,Data backups,Anti-virus software,Employee training,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Most of the time,Quarterly,A great deal,A great deal,A moderate amount,Somewhat adequate,Monthly,,,,,,Monthly,Accuracy,Maybe,I don't know,,,,,,Quarterly,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",,,,,,Yes,Yes,Always,Yes,Yes,,Quarterly,Relevant,Significantly,Always,Yes,Very confident,Monthly,"Yes, but only with my personal devices",Often,Always,No,Yes,No,Delete the message,Yes,Yes,Once a year,Yes,Yes,31,South African ,Female,Legal Services,26-50,Legal & Compliance,1-3 years,More than 20 years,6152c1e46256722c21daf4f5
39,2024-09-30 16:18:25,2024-09-30 16:26:29,IP Address,105.244.44.115,100,483,True,2024-09-30 16:26:30,R_8Tof9g1NbihE5p8,-33.9146,19.1123,anonymous,EN,Yes,6124ce8352f12920a238d3fb,Knowledgeable,Very important,No,Always,Yes,"Encryption,Two-factor authentication,Anti-virus software",,Somewhat likely,About half the time,Annually,A moderate amount,A lot,A lot,Somewhat adequate,Weekly,2,1,4,5,3,Weekly,Speed,Maybe,Yes,A moderate amount,A moderate amount,A moderate amount,False positives (i.e. harmless emails being identified as suspicious and being blocked),Proven track record of reliability,Once a year,"Yes, I know exactly where they are",Somewhat familiar,"Yes, they are somewhat effective",2,1,3,5,4,Yes,Yes,Always,Yes,Yes,,Annually,Very relevant,Moderately,Moderately,Yes,Neutral,Annually,"No, only private networks",Sometimes,Sometimes,Yes,Yes,Yes,Ignore,No,Yes,Once a year,Yes,Yes,25,south african,Female,Finance and Banking,51-100,Finance & Accounting,3-5 years,10 - 20 years,6124ce8352f12920a238d3fb
40,2024-09-30 16:21:21,2024-09-30 16:26:31,IP Address,77.65.103.190,100,310,True,2024-09-30 16:26:31,R_2P6GRIoLEdO5BMf,52.3889,16.9549,anonymous,EN,Yes,6107d7bfd20be2d2087d034e,Knowledgeable,Moderately important,No,Sometimes,Yes,"Two-factor authentication,Data backups",,Extremely likely,Sometimes,Never,A lot,A moderate amount,None at all,Neither adequate nor inadequate,Monthly,5,1,2,3,4,Never,Accuracy,Maybe,No,,,,,,Never,"No, I've never seen them",Not familiar at all,"No, they are not effective at all",3,5,4,1,2,No,,,,No,"Yes, willingly",,,,,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Always,Sometimes,Yes,No,No,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",No,No,Never,I don't know,No,24,Polish,Non-binary / third gender,Education,26-50,Customer Service & Support,1-3 years,5 - 10 years,6107d7bfd20be2d2087d034e
41,2024-09-30 16:19:31,2024-09-30 16:26:37,IP Address,87.196.148.26,100,425,True,2024-09-30 16:26:38,R_8e4xhhPhqynRNKu,40.1476,-8.859,anonymous,EN,Yes,614775c6f329a9e5ab190e04,Not very knowledgeable,Moderately important,Yes,Often,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Employee training,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat unlikely,Sometimes,I don't know,A moderate amount,A little,A little,Somewhat adequate,I don't update or maintain them,4,3,5,1,2,Never,Integration with other tools,Maybe,I don't know,,,,,,Never,"No, I've never seen them",Not familiar at all,"No, they are not effective at all",1,3,5,4,2,Yes,Yes,Often,Not sure,Yes,,Annually,Not very relevant,Not at all,Moderately,Yes,Very confident,Only when forced,"Yes, with all my devices",Often,Often,Yes,No,No,Ignore,I don't know,No,Never,I don't know,I don't know,26,Portuguese,Male,Sports and Recreation,100+,Other,5-10 years,10 - 20 years,614775c6f329a9e5ab190e04
42,2024-09-30 16:18:04,2024-09-30 16:26:44,IP Address,41.206.45.94,100,520,True,2024-09-30 16:26:44,R_8LqFZsehNXDFjyr,-1.2841,36.8155,anonymous,EN,Yes,664b33c939ab486472a88ace,Knowledgeable,Very important,I don't know,Often,Yes,"Firewalls,Data backups,Anti-virus software,Employee training",,Somewhat likely,Sometimes,Annually,A lot,A lot,A lot,Somewhat adequate,Monthly,1,2,5,4,3,Rarely,Ease of use,Yes,Yes,A lot,A lot,A moderate amount,False positives (i.e. harmless emails being identified as suspicious and being blocked),Proven track record of reliability,Monthly or more frequently,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",2,5,3,4,1,Yes,Yes,Often,Yes,I Don't Know,"Yes, willingly",Annually,,,,Yes,Very confident,Only when forced,"Yes, but only with my personal devices",Rarely,Often,Yes,Yes,Yes,Ignore,I don't know,I don't know,I don't know,Yes,I don't know,25,KENYAN,Male,Media and Entertainment,100+,Operations & Supply Chain,3-5 years,10 - 20 years,664b33c939ab486472a88ace
43,2024-09-30 16:20:28,2024-09-30 16:26:48,IP Address,41.150.250.162,100,380,True,2024-09-30 16:26:49,R_8MIToY3SWuYB1tL,-25.7599,28.2604,anonymous,EN,Yes,665b575713c9ec2ddbccc016,Very knowledgeable,Extremely important,Yes,Always,Yes,"Two-factor authentication,Data backups,Anti-virus software,Employee training,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Always,Monthly,A great deal,A great deal,A great deal,Extremely adequate,Monthly,1,5,2,4,3,Monthly,Accuracy,Yes,Yes,A great deal,A great deal,A great deal,False negatives (i.e. phishing emails appearing in your inbox),Transparency in how AI works,Monthly or more frequently,"Yes, I know exactly where they are",Very familiar,"Yes, they are very effective",3,4,2,1,5,Yes,Yes,Always,Yes,Yes,,Monthly,Very relevant,Significantly,Always,Yes,Very confident,Every few months,"Yes, but only with my personal devices",Rarely,Rarely,No,No,No,Ignore,Yes,Yes,Monthly,Yes,Yes,23,South African ,Female,Information Technology (IT),51-100,IT & Engineering,1-3 years,More than 20 years,665b575713c9ec2ddbccc016
44,2024-09-30 16:21:34,2024-09-30 16:26:51,IP Address,5.249.111.201,100,317,True,2024-09-30 16:26:52,R_2MRirOL7lhayJ9G,40.6642,-7.9072,anonymous,EN,Yes,5f823478cab272361106d26a,Neutral,Extremely important,Yes,Always,Yes,"Firewalls,Two-factor authentication,Data backups,Employee training,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Quarterly,A great deal,A great deal,A great deal,Somewhat adequate,Monthly,3,1,5,2,4,Monthly,Accuracy,Maybe,No,,,,,,Once a year,"Yes, but I'm not sure of the exact location",Not very familiar,"Yes, they are somewhat effective",4,5,2,3,1,Yes,Yes,Always,Yes,No,"Yes, willingly",Never,,,,Yes,Somewhat confident,Every few months,"Yes, with all my devices",Always,Never,No,No,No,Delete the message,I don't know,I don't know,I don't know,I don't know,I don't know,35,Portuguese,Female,Public Relations and Marketing,51-100,Sales & Marketing,1-3 years,More than 20 years,5f823478cab272361106d26a
45,2024-09-30 16:19:41,2024-09-30 16:26:57,IP Address,173.35.128.80,100,435,True,2024-09-30 16:26:58,R_6kttB6Fa9zIoqyY,45.4147,-65.9688,anonymous,EN,Yes,5d9f4d5f3cac2b0016c79242,Not very knowledgeable,Slightly important,No,Rarely,No,"Two-factor authentication,Anti-virus software,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat unlikely,Never,Never,A little,A moderate amount,A little,Somewhat adequate,Less frequently,1,4,2,5,3,Never,Ease of use,Yes,No,,,,,,Never,"No, I don't know where they are",Not familiar at all,"No, they are not very effective",1,5,2,3,4,No,,,,No,Only if mandatory,,,,,No,Very confident,Only when forced,"Yes, but only with my personal devices",Rarely,Often,Yes,Yes,No,Delete the message,No,No,Never,No,No,30,Canadian,Male,Hospitality,2024-11-25 00:00:00,Sales & Marketing,3-5 years,3 - 5 years,5d9f4d5f3cac2b0016c79242
46,2024-09-30 16:20:51,2024-09-30 16:26:58,IP Address,86.33.92.210,100,366,True,2024-09-30 16:26:58,R_81ugPPllFT8KuXD,45.8293,15.9793,anonymous,EN,Yes,6681401c2a1ed8e4835db046,Knowledgeable,Moderately important,Yes,Always,Yes,"Firewalls,Two-factor authentication,Data backups,Anti-virus software,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Neither likely nor unlikely,About half the time,Annually,A lot,A moderate amount,A lot,Somewhat adequate,Weekly,1,3,2,5,4,Weekly,Accuracy,Maybe,I don't know,,,,,,Once a year,"Yes, but I'm not sure of the exact location",Not very familiar,"Yes, they are somewhat effective",4,3,2,5,1,Yes,Yes,Always,Yes,Yes,,Quarterly,Relevant,Moderately,Moderately,Yes,Neutral,Every few months,"Yes, with all my devices",Often,Sometimes,No,No,No,Delete the message,I don't know,Yes,Every 6 months,I don't know,Yes,20,North Macedonian,Female,Public Relations and Marketing,2024-01-10 00:00:00,Sales & Marketing,1-3 years,3 - 5 years,6681401c2a1ed8e4835db046
47,2024-09-30 16:21:02,2024-09-30 16:26:58,IP Address,90.226.130.233,100,356,True,2024-09-30 16:26:59,R_8jD7z4V2cxCbths,59.2322,18.1257,anonymous,EN,Yes,65c818ba7bc7b12a648fb967,Knowledgeable,Moderately important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Anti-virus software,Employee training,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Somewhat likely,Most of the time,Biannually,A great deal,A little,A moderate amount,Somewhat adequate,Weekly,3,2,4,1,5,Weekly,Accuracy,Maybe,No,,,,,,Every 6 months,"Yes, but I'm not sure of the exact location",Somewhat familiar,"No, they are not very effective",3,4,2,1,5,Yes,Yes,Often,Yes,I Don't Know,"Yes, willingly",Annually,,,,Yes,Somewhat confident,Annually,"Yes, but only with my personal devices",Often,Sometimes,Yes,No,No,Ignore,I don't know,I don't know,I don't know,Yes,I don't know,26,Swedish,Male,Transportation and Logistics,51-100,Other,1-3 years,10 - 20 years,65c818ba7bc7b12a648fb967
48,2024-09-30 16:16:41,2024-09-30 16:27:02,IP Address,41.13.140.158,100,620,True,2024-09-30 16:27:02,R_8OnNbxMXKOrFCbD,-29.8556,31.0449,anonymous,EN,Yes,61563a4b0def9000ccc976ec,Not very knowledgeable,Very important,Yes,Always,Yes,"Firewalls,Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Annually,A great deal,A moderate amount,A lot,Somewhat adequate,Less frequently,4,5,2,1,3,Monthly,Ease of use,Maybe,I don't know,,,,,,Once a year,"Yes, I know exactly where they are",Somewhat familiar,"Yes, they are very effective",1,5,2,3,4,Yes,Not sure,Often,Yes,Yes,,Annually,Relevant,Significantly,Moderately,Not sure,Somewhat confident,Only when forced,"No, only private networks",Always,Always,No,Yes,No,Ignore,I don't know,I don't know,Once a year,I don't know,I don't know,30,South Africa,Female,Legal Services,100+,Legal & Compliance,3-5 years,5 - 10 years,61563a4b0def9000ccc976ec
49,2024-09-30 16:20:33,2024-09-30 16:27:05,IP Address,70.53.27.133,100,391,True,2024-09-30 16:27:05,R_3tl17ZlNkpRZzpI,43.5204,-80.2245,anonymous,EN,Yes,66c614d2dc8d7cd257f4b5e3,Not very knowledgeable,Slightly important,I don't know,Sometimes,Yes,Secure Password (E.g: Pm8QjZF1Dcj2Dmx),,Extremely likely,Never,I don't know,A little,A little,None at all,Neither adequate nor inadequate,I don't update or maintain them,3,1,4,5,2,Rarely,Ease of use,No,No,,,,,,Never,"No, I've never seen them",Neutral,Neutral,5,4,1,2,3,No,,,,No,Only if mandatory,,,,,Not sure,Very confident,Only when forced,"Yes, but only with my personal devices",Rarely,Rarely,No,No,No,Ignore,I don't know,No,Never,No,No,52,Canadian,Female,Education,26-50,Other,more than 10 years,10 - 20 years,66c614d2dc8d7cd257f4b5e3
50,2024-09-30 16:20:17,2024-09-30 16:27:06,IP Address,45.14.195.83,100,409,True,2024-09-30 16:27:07,R_1llzq60meDDte3G,42.8856,-78.8736,anonymous,EN,Yes,62bf27ab81ef4d3e074585b5,Knowledgeable,Moderately important,No,Always,Yes,"Firewalls,Two-factor authentication,Data backups,Anti-virus software,Virtual Private Network (VPN),Password Manager,Secure Password (E.g: Pm8QjZF1Dcj2Dmx)",,Extremely likely,Sometimes,Quarterly,A great deal,A moderate amount,A moderate amount,Extremely adequate,Weekly,5,2,4,3,1,Daily,Integration with other tools,Maybe,No,,,,,,Quarterly,"Yes, I know exactly where they are",Very familiar,Neutral,5,4,1,2,3,Yes,No,Rarely,No,No,"Yes, willingly",Never,,,,Yes,Very confident,Every few months,"Yes, but only with my personal devices",Always,Rarely,No,Yes,No,Delete the message,No,No,Once a year,I don't know,I don't know,37,,Non-binary / third gender,Information Technology (IT),2024-01-10 00:00:00,IT & Engineering,3-5 years,3 - 5 years,62bf27ab81ef4d3e074585b5
51,2024-09-30 16:19:03,2024-09-30 16:27:09,IP Address,62.28.101.61,100,486,True,2024-09-30 16:27:10,R_8q1mHV1FivXVNgZ,41.5329,-8.6102,anonymous,EN,Yes,602eda053a3b7ab564f938f5,Neutral,Moderately important,I don't know,Sometimes,Yes,"Firewalls,Anti-virus software,Virtual Private Network (VPN)",,Extremely likely,Sometimes,Annually,A moderate amount,A little,A little,Somewhat inadequate,Less frequently,5,1,2,3,4,Rarely,Ease of use,Yes,No,,,,,,Once a year,"No, I don't know where they are",Not very familiar,Neutral,5,4,2,3,1,Yes,Not sure,Sometimes,Not sure,No,"Yes, willingly",Never,,,,Yes,Neutral,Only when forced,"No, only private networks",Always,Rarely,No,No,Yes,Ignore,No,No,Never,I don't know,I don't know,30,portuguese,Male,Shipping and Maritime,2024-11-25 00:00:00,Product Development & R&D,1-3 years,More than 20 years,602eda053a3b7ab564f938f5
52,2024-09-30 16:18:03,2024-09-30 16:27:10,IP Address,105.255.228.238,100,546,True,2024-09-30 16:27:10,R_2wBK7XSMvIWwF2i,-25.9766,28.1144,anonymous,EN,Yes,615fdd9674ec001e9d325841,Knowledgeable,Very important,Yes,Often,Yes,"Firewalls,Anti-virus software,Employee training,Virtual Private Network (VPN)",,Extremely likely,Most of the time,Biannually,A lot,A lot,A great deal,Somewhat adequate,Daily,3,1,4,2,5,Daily,Accuracy,Yes,No,,,,,,Quarterly,"Yes, but I'm not sure of the exact location",Somewhat familiar,"Yes, they are somewhat effective",3,5,1,4,2,Yes,Yes,Always,Yes,Yes,,Annually,Neutral,Moderately,Sometimes,Yes,Somewhat confident,Every few months,"Yes, but only with my personal devices",Often,Sometimes,Yes,Yes,No,Delete the message,No,Yes,I don't know,I don't know,Yes,27,South African,Female,Manufacturing,51-100,Product Development & R&D,1-3 years,More than 20 years,615fdd9674ec001e9d325841
53,2024-09-30 16:17:41,2024-09-30 16:27:12,IP Address,102.182.46.35,100,571,True,2024-09-30 16:27:13,R_839vGyY5zpWSYDA,-26.2309,28.0583,anonymous,EN,Yes,666304b5091a455ee43be001,Knowledgeable,Very important,Yes,Always,Yes,"Encryption,Two-factor authentication,Data backups,Anti-virus software,Employee training,Password Manager",,Extremely likely,Most of the time,Monthly,A lot,A great deal,A great deal,Extremely adequate,Monthly,2,5,1,4,3,Monthly,Accuracy,Yes,Yes,A great deal,A great deal,A lot,False positives (i.e. harmless emails being identified as suspicious and being blocked),Transparency in how AI works,Monthly or more frequently,"Yes, but I'm not sure of the exact location",Very familiar,"Yes, they are very effective",3,5,4,2,1,Yes,Yes,Often,Yes,Yes,,Monthly,Very relevant,Significantly,Always,Yes,Very confident,Only when forced,"Yes, with all my devices",Always,Always,No,No,No,"Click the link, and investigate the root of the problem to Report it to IT or a supervisor",Yes,Yes,Monthly,Yes,Yes,21,south african,Female,Healthcare and Pharmaceuticals,51-100,Human Resources & Administration,3-5 years,More than 20 years,666304b5091a455ee43be001
